			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Зцілення	Зцілення	1		x			6	5	5	5	5	10	10	20	30	10	10	5	5	0	5	5	10	5	4	4	4	4	"{Зцілення}

Знімає всі негативні магічні ефекти з обраного загону і відновлює йому невелику кількість здоров'я.
"	"{Зцілення 1-го рівня}

Знімає всі негативні магічні ефекти з обраного загону і відновлює йому невелику кількість здоров'я.
"	"{Зцілення 2-го рівня}

Знімає всі негативні магічні ефекти з обраного загону і відновлює йому невелику кількість здоров'я.

Зцілює на 10 здоров'я більше ніж Зцілення 1-го рівня.
"	"{Зцілення 3-го рівня}

Знімає всі негативні магічні ефекти з обраного загону і відновлює йому невелику кількість здоров'я.

Зцілює на 20 здоров'я більше ніж Зцілення 1-го рівня.
"	 COMBAT_SPELL|CREATURE_TARGET_1
Відродження	Відродження	4	x				20	16	16	16	50	40	40	80	160	10	10	10	10	10	10	0	0	5	50	50	60	120	"{Відродження}

Відроджує істот у вибраному загоні шляхом відновлення певної кількості здоров'я.
"	"{Відродження 1-го рівня}

Відроджує істот у вибраному загоні шляхом відновлення певної кількості здоров'я.
"	"{Відродження 2-го рівня}

Відроджує істот у вибраному загоні шляхом відновлення певної кількості здоров'я.

Відновлює на 40 здоров'я більше ніж Відродження 1-го рівня.
"	"{Відродження 3-го рівня}

Відроджує істот у вибраному загоні шляхом відновлення певної кількості здоров'я.

Відновлює на 120 здоров'я більше ніж Відродження 1-го рівня.
"	 COMBAT_SPELL|CREATURE_TARGET
Пробудження Мертвих	Пробудження Мертвих	3	x				15	12	12	12	50	30	30	60	160	0	0	0	0	16	0	0	0	0	60	60	60	120	"{Пробудження мертвих}

Піднімає будь-яку знищену нежить у вибраній групі шляхом відновлення певної кількості здоров'я.
"	"{Пробудження мертвих 1-го рівня}

Піднімає будь-яку знищену нежить у вибраній групі шляхом відновлення певної кількості здоров'я.
"	"{Пробудження мертвих 2-го рівня}

Піднімає будь-яку знищену нежить у вибраній групі шляхом відновлення певної кількості здоров'я.

Відновлює на 30 здоров'я більше ніж Пробудження мертвих 1-го рівня.
"	"{Пробудження мертвих 3-го рівня}

Піднімає будь-яку знищену нежить у вибраній групі шляхом відновлення певної кількості здоров'я.

Відновлює на 130 здоров'я більше ніж Пробудження мертвих 1-го рівня.
"	 COMBAT_SPELL|CREATURE_TARGET
Жертвоприношення	Жертвоприношення	5			x		25	20	20	20	1	3	3	6	10	0	0	0	20	16	12	0	0	0	1	1	1	1	"{Жертвоприношення}

Знищує дружній загін, щоб відродити вбитих істот. Кількість відроджених істот залежить від магічної сили заклинателя і сумарного здоров'я знищеного загону.
"	"{Жертвоприношення 1-го рівня}

Знищує дружній загін, щоб відродити вбитих істот. Кількість відроджених істот залежить від магічної сили заклинателя і сумарного здоров'я знищеного загону.
"	"{Жертвоприношення 2-го рівня}

Знищує дружній загін, щоб відродити вбитих істот. Кількість відроджених істот залежить від магічної сили заклинателя і сумарного здоров'я знищеного загону.

Відроджує більше істот ніж Жертвоприношення 1-го рівня.
"	"{Жертвоприношення 3-го рівня}

Знищує дружній загін, щоб відродити вбитих істот. Кількість відроджених істот залежить від магічної сили заклинателя і сумарного здоров'я знищеного загону.

Відроджує більше істот ніж Жертвоприношення 2-го рівня.
"	 COMBAT_SPELL|CREATURE_TARGET
Благословення	Благословення	1		x			5	4	4	4	0	0	0	1	1	10	5	5	0	0	3	3	5	5	10	10	11	11	"{Благословення}

Обраний загін буде завдавати лише максимальних пошкоджень протягом бою.
"	"{Благословення 1-го рівня}

Обраний загін буде завдавати лише максимальних пошкоджень протягом бою.
"	"{Благословення 2-го рівня}

Обраний загін буде завдавати пошкоджень більших ніж нормальні максимальні.
"	"{Благословення 3-го рівня}

Усі загони будуть завдавати пошкоджень більших ніж нормальні максимальні.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Прокляття	Прокляття	1			x		6	5	5	5	0	0	0	1	1	0	0	3	5	10	5	0	0	0	10	10	11	11	"{Прокляття}

Обраний ворожий загін буде завдавати лише мінімальних пошкоджень.
"	"{Прокляття 1-го рівня}

Обраний ворожий загін буде завдавати лише мінімальних пошкоджень.
"	"{Прокляття 2-го рівня}

Обраний ворожий загін буде завдавати пошкоджень менших ніж мінімальні.
"	"{Прокляття 3-го рівня}

Усі ворожі загони будуть завдавати пошкоджень менших ніж мінімальні.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Жага Крові	Жага Крові	1			x		5	4	4	4	0	3	3	6	6	0	0	0	10	5	5	10	5	5	7	7	15	15	"{Жага крові}

Збільшує пошкодження, яких завдає обраний загін у ближньому бою.
"	"{Жага крові 1-го рівня}

Збільшує пошкодження, яких завдає обраний загін у ближньому бою.
"	"{Жага крові 2-го рівня}

Збільшує пошкодження, яких завдає обраний загін у ближньому бою.

Ефект вдвічі сильніший ніж у Жаги крові 1-го рівня
"	"{Жага крові 3-го рівня}

Збільшує пошкодження, яких завдають усі загони у ближньому бою.

Ефект вдвічі сильніший ніж у Жаги крові 1-го рівня
"	 COMBAT_SPELL|CREATURE_TARGET_2
Влучність	Влучність	2				x	8	6	6	6	0	3	3	6	6	6	6	4	8	2	6	4	4	2	7	7	15	15	"{Влучність}

Збільшує пошкодження, яких завдає обраний загін у дальньому бою.
"	"{Влучність 1-го рівня}

Збільшує пошкодження, яких завдає обраний загін у дальньому бою.
"	"{Влучність 2-го рівня}

Збільшує пошкодження, яких завдає обраний загін у дальньому бою.

Ефект вдвічі сильніший ніж у Влучності 1-го рівня.
"	"{Влучність 3-го рівня}

Збільшує пошкодження, яких завдають усі загони у дальньому бою.

Ефект вдвічі сильніший ніж у Влучності 1-го рівня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Слабкість	Слабкість	2		x			8	6	6	6	0	3	3	6	6	2	2	2	8	4	4	4	4	4	7	7	15	15	"{Слабкість}

Зменшує силу атаки обраного ворожого загону.
"	"{Слабкість 1-го рівня}

Зменшує силу атаки обраного ворожого загону.
"	"{Слабкість 2-го рівня}

Зменшує силу атаки обраного ворожого загону.

Ефект вдвічі сильніший ніж у Слабкості 1-го рівня.
"	"{Слабкість 3-го рівня}

Зменшує силу атаки всіх ворожих загонів.

Ефект вдвічі сильніший ніж у Слабкості 1-го рівня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Кам'яна Шкіра	Кам'яна Шкіра	1	x				5	4	4	4	0	3	3	6	6	5	5	10	5	10	5	10	5	5	7	7	15	15	"{Кам'яна шкіра}

Збільшує захист обраного загону.
"	"{Кам'яна шкіра 1-го рівня}

Збільшує захист обраного загону.
"	"{Кам'яна шкіра 2-го рівня}

Збільшує захист обраного загону.

Ефект вдвічі сильніший ніж у Кам'яної шкіри 1-го рівня.
"	"{Кам'яна шкіра 3-го рівня}

Збільшує захист усіх дружніх загонів.

Ефект вдвічі сильніший ніж у Кам'яної шкіри 1-го рівня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Розриваючий Промінь	Розриваючий Промінь	2				x	10	8	8	8	0	3	3	4	5	6	4	6	12	4	6	6	6	8	7	7	15	15	"{Розриваючий промінь}

Зменшує захист обраного ворожого загону. Лише один ворог може піддаватися дії заклинання в той самий час.
"	"{Розриваючий промінь 1-го рівня}

Зменшує захист обраного ворожого загону. Лише один ворог може піддаватися дії заклинання в той самий час.
"	"{Розриваючий промінь 2-го рівня}

Зменшує захист обраного ворожого загону. Лише один ворог може піддаватися дії заклинання в той самий час.

Діє сильніше ніж Розриваючий промінь 1-го рівня.
"	"{Розриваючий промінь 3-го рівня}

Зменшує захист обраного ворожого загону. Лише один ворог може піддаватися дії заклинання в той самий час.

Діє сильніше ніж Розриваючий промінь 2-го рівня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Молитва	Молитва	4		x			16	12	12	12	0	2	2	4	4	10	5	5	0	0	0	0	0	5	8	8	16	16	"{Молитва}

Дарує обраному загону бонус до нападу, захисту і швидкості.
"	"{Молитва 1-го рівня}

Дарує обраному загону бонус до нападу, захисту і швидкості.
"	"{Молитва 2-го рівня}

Дарує обраному загону бонус до нападу, захисту і швидкості.

Діє вдвічі сильніше ніж Молитва 1-го рівня.
"	"{Молитва 3-го рівня}

Дарує всім дружнім загонам бонус до нападу, захисту і швидкості.

Діє вдвічі сильніше ніж Молитва 1-го рівня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Радість	Радість	3		x			12	9	9	9	0	1	1	2	2	4	4	4	2	4	4	12	2	4	1	1	2	2	"{Радість}

Збільшує бойовий дух обраного загону.
"	"{Радість 1-го рівня}

Збільшує бойовий дух обраного загону.
"	"{Радість 2-го рівня}

Збільшує бойовий дух обраного загону.

Діє вдвічі сильніше ніж Радість 1-го рівня.
"	"{Радість 3-го рівня}

Збільшує бойовий дух всіх дружніх загонів.

Діє вдвічі сильніше ніж Радість 1-го рівня.
"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Смуток	Смуток	4	x				16	12	12	12	0	1	1	2	2	5	5	5	5	5	5	0	0	5	1	1	2	2	"{Смуток}

Зменшує бойовий дух обраного ворожого загону.
"	"{Смуток 1-го рівня}

Зменшує бойовий дух обраного ворожого загону.
"	"{Смуток 2-го рівня}

Зменшує бойовий дух обраного ворожого загону.

Діє вдвічі сильніше ніж Смуток 1-го рівня.
"	"{Смуток 3-го рівня}

Зменшує бойовий дух всіх ворожих загонів.

Діє вдвічі сильніше ніж Смуток 1-го рівня.
"	 COMBAT_SPELL|CREATURE_TARGET_2|MIND_SPELL
Удача	Удача	2				x	7	5	5	5	0	1	1	2	2	4	6	4	4	2	2	4	4	2	1	1	2	2	"{Удача}

Збільшує удачу обраного загону.
"	"{Удача 1-го рівня}

Збільшує удачу обраного загону.
"	"{Удача 2-го рівня}

Збільшує удачу обраного загону.

Діє вдвічі сильніше ніж Удача 1-го рівня.
"	"{Удача 3-го рівня}

Збільшує удачу всіх дружніх загонів.

Діє вдвічі сильніше ніж Удача 1-го рівня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Невдача	Невдача	3			x		12	9	9	9	0	1	1	2	2	4	4	4	6	8	4	4	2	4	1	1	2	2	"{Невдача}

Зменшує удачу обраного ворожого загону.
"	"{Невдача 1-го рівня}

Зменшує удачу обраного ворожого загону.

Витрачає вдвічі менше мани ніж звичайна Невдача.
"	"{Невдача 2-го рівня}

Зменшує удачу обраного ворожого загону.

Діє вдвічі сильніше ніж Невдача 1-го рівня.
"	"{Невдача 3-го рівня}

Зменшує удачу всіх ворожих загонів.

Діє вдвічі сильніше ніж Невдача 1-го рівня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Поспіх	Поспіх	1				x	6	5	5	5	0	3	3	5	5	5	10	5	5	5	10	5	10	10	5	5	10	10	"{Поспіх}

Збільшує швидкість обраного загону.
"	"{Поспіх 1-го рівня}

Збільшує швидкість обраного загону.
"	"{Поспіх 2-го рівня}

Збільшує швидкість обраного загону.

Діє приблизно вдвічі сильніше ніж Поспіх 1-го рівня.
"	"{Поспіх 3-го рівня}

Збільшує швидкість всіх дружніх загонів.

Діє приблизно вдвічі сильніше ніж Поспіх 1-го рівня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Уповільнення	Уповільнення	1	x				6	5	5	5	0	75	75	50	50	5	10	10	10	5	5	5	5	10	5	5	15	15	"{Уповільнення}

Зменшує швидкість обраного ворожого загону.
"	"{Уповільнення 1-го рівня}

Зменшує швидкість обраного ворожого загону.
"	"{Уповільнення 2-го рівня}

Зменшує швидкість обраного ворожого загону.

Діє вдвічі сильніше ніж Уповільнення 1-го рівня.
"	"{Уповільнення 3-го рівня}

Зменшує швидкість усіх ворожих загонів.

Діє вдвічі сильніше ніж Уповільнення 1-го рівня.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Вбивця	Вбивця	4			x		16	12	12	12	0	8	8	8	8	5	5	5	5	5	5	0	0	5	1	1	1	1	"{Вбивця}

Збільшує кількість пошкоджень, яких завдає загін Драконам, Чудовиськам і Гідрам.
"	"{Вбивця 1-го рівня}

Збільшує кількість пошкоджень, яких завдає загін Драконам, Чудовиськам і Гідрам.
"	"{Вбивця 2-го рівня}

Збільшує кількість пошкоджень, яких завдає загін Драконам, Чудовиськам, Гідрам, Демонам і Ангелам.
"	"{Вбивця 3-го рівня}

Збільшує кількість пошкоджень, яких завдає загін Драконам, Чудовиськам, Гідрам, Демонам, Ангелам і Титанам.
"	 COMBAT_SPELL|CREATURE_TARGET
Безумство	Безумство	4			x		16	12	12	12	0	100	100	150	200	5	5	5	5	5	5	0	0	5	10	10	20	30	"{Безумство}

Зменшує обраному загону захист, щоб збільшити силу атаки.
"	"{Безумство 1-го рівня}

Зменшує обраному загону захист, щоб збільшити силу атаки.
"	"{Безумство 2-го рівня}

Зменшує обраному загону захист, щоб збільшити силу атаки.

Бонус атаки на 50% більший ніж у Безумства 1-го рівня.
"	"{Безумство 3-го рівня}

Зменшує обраному загону захист, щоб збільшити силу атаки.

Бонус атаки вдвічі більший ніж у Безумства 1-го рівня.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Блискавка Титана	Блискавка Титана	5				x	0	0	0	0	0	600	600	600	600	0	0	0	0	0	0	0	0	0	75	75	75	75	"{Блискавка титана}

Завдає 600 одиниць пошкоджень і не потребує витрат балів магії.
"	"{Блискавка титана}

Завдає 600 одиниць пошкоджень і не потребує витрат балів магії.
"	"{Блискавка титана}

Завдає 600 одиниць пошкоджень і не потребує витрат балів магії.
"	"{Блискавка титана}

Завдає 600 одиниць пошкоджень і не потребує витрат балів магії.
"	
Контрудар	Контрудар	4				x	24	20	20	20	0	1	1	2	2	5	10	5	5	5	5	0	0	5	20	20	30	30	"{Контрудар}

Обраний загін зможе контратакувати ще один раз на раунд.
"	"{Контрудар 1-го рівня}

Обраний загін зможе контратакувати ще один раз на раунд.
"	"{Контрудар 2-го рівня}

Обраний загін зможе контратакувати ще двічі кожного раунду.
"	"{Контрудар 3-го рівня}

Усі дружні загони зможуть контратакувати ще двічі кожного раунду.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Берсерк	Берсерк	4			x		20	16	16	16	0	0	0	1	2	5	5	5	5	10	5	0	0	5	60	60	60	60	"{Берсерк}

Обраний загін випадково атакуватиме будь-який сусідній загін, чи дружній чи ворожий.
"	"{Берсерк 1-го рівня}

Обраний загін випадково атакуватиме будь-який сусідній загін, чи дружній чи ворожий.
"	"{Берсерк 2-го рівня}

Обраний загін випадково атакуватиме будь-який сусідній загін, чи дружній чи ворожий.

Площа дії ефекту на 6 клітин більша ніж у Берсерка 1-го рівня.
"	"{Берсерк 3-го рівня}

Обраний загін випадково атакуватиме будь-який сусідній загін, чи дружній чи ворожий.

Площа дії ефекту на 18 клітин більша ніж у Берсерка 1-го рівня.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Гіпноз	Гіпноз	3				x	18	15	15	15	25	10	10	20	50	4	4	8	6	0	8	4	4	12	25	25	50	100	"{Гіпноз}

Тимчасово піддає ворожий загін контролю заклинателя.
"	"{Гіпноз 1-го рівня}

Тимчасово піддає ворожий загін контролю заклинателя.
"	"{Гіпноз 2-го рівня}

Тимчасово піддає ворожий загін контролю заклинателя.

Дозволяє контролювати на 10 очок здоров'я ворога більше ніж Гіпноз 1-го рівня.
"	"{Гіпноз 3-го рівня}

Тимчасово піддає ворожий загін контролю заклинателя.

Дозволяє контролювати на 40 очок здоров'я ворога більше ніж Гіпноз 1-го рівня.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Забудькуватість	Забудькуватість	3		x			12	9	9	9	0	0	0	0	0	8	8	4	4	4	4	4	4	8	1	1	1	1	"{Забудькуватість}

Половина істот з обраного загону забуде зробити постріл.
"	"{Забудькуватість 1-го рівня}

Половина істот з обраного загону забуде зробити постріл.
"	"{Забудькуватість 2-го рівня}

Обраний загін забуде зробити постріл.
"	"{Забудькуватість 3-го рівня}

Усі загони ворога забудуть робити постріли.
"	 COMBAT_SPELL|CREATURE_TARGET|MIND_SPELL
Сліпота	Сліпота	2			x		10	8	8	8	0	50	50	25	0	4	6	2	12	4	4	4	6	8	50	50	50	50	"{Сліпота}

Осліплює істоту, через що вона не може рухатися і буде контратакувати лише впівсили. Сліпота зберігається, поки істоту не атакують або заклинання не розсіється.
"	"{Сліпота 1-го рівня}

Осліплює істоту, через що вона не може рухатися і буде контратакувати лише впівсили. Сліпота зберігається, поки істоту не атакують або заклинання не розсіється.
"	"{Сліпота 2-го рівня}

Осліплює істоту, через що вона не може рухатися і буде контратакувати лише на одну четверту своєї сили. Сліпота зберігається, поки істоту не атакують або заклинання не розсіється.
"	"{Сліпота 3-го рівня}

Осліплює істоту, через що вона не може рухатися чи контратакувати. Сліпота зберігається, поки істоту не атакують або заклинання не розсіється.
"	 COMBAT_SPELL|CREATURE_TARGET
Телепорт	Телепорт	3		x			15	12	6	3	0	0	0	0	0	8	8	8	8	8	8	8	10	8	20	20	20	20	"{Телепорт}

Телепортує будь-який дружній загін на будь-яку вільну клітину на полі бою.
"	"{Телепорт 1-го рівня}

Телепортує будь-який дружній загін на будь-яку вільну клітину на полі бою.

Істота не телепортується крізь стіни і перешкоди.
"	"{Телепорт 2-го рівня}

Телепортує будь-який дружній загін на будь-яку вільну клітину на полі бою.

Істота не телепортується крізь стіни.
"	"{Телепорт 3-го рівня}

Телепортує будь-який дружній загін на будь-яку вільну клітину на полі бою.
"	 COMBAT_SPELL|CREATURE_TARGET
Прибрати Перешкоду	Прибрати Перешкоду	2		x			7	5	5	5	0	0	0	0	0	4	4	6	4	4	4	4	4	4	1	1	1	1	"{Прибрати перешкоду}

Знищує будь-яку нормальну перешкоду (дерево, скелю тощо) за вибором заклинателя з поля бою.
"	"{Прибрати перешкоду 1-го рівня}

Знищує будь-яку нормальну перешкоду (дерево, скелю тощо) за вибором заклинателя з поля бою.
"	"{Прибрати перешкоду 2-го рівня}

Знищує будь-яку нормальну перешкоду (дерево, скелю тощо) або Вогненну стіну за вибором заклинателя з поля бою.
"	"{Прибрати перешкоду 3-го рівня}

Знищує будь-яку нормальну чи магічну перешкоду за вибором заклинателя з поля бою.
"	 COMBAT_SPELL|OBSTACLE_TARGET
Клон	Клон	4		x			24	20	20	20	0	5	5	6	7	5	5	10	5	5	5	0	0	10	20	20	40	50	"{Клон}

Створює копію обраного загону. Клон зникає, коли його атакують.

Рівні істот, яких можна клонувати: 1-5.
"	"{Клон 1-го рівня}

Створює копію обраного загону. Клон зникає, коли його атакують.

Рівні істот, яких можна клонувати: 1-5.
"	"{Клон 2-го рівня}

Створює копію обраного загону. Клон зникає, коли його атакують.

Рівні істот, яких можна клонувати: 1-6.
"	"{Клон 3-го рівня}

Створює копію обраного загону. Клон зникає, коли його атакують.

Рівні істот, яких можна клонувати: 1-7.
"	 COMBAT_SPELL|CREATURE_TARGET
Вогненний Елементаль	Вогненний Елементаль	5			x		25	20	20	20	0	2	2	3	4	0	0	0	16	0	12	0	0	12	50	50	100	150	"{Виклик вогненного елементаля}

Дозволяє прикликати вогненних елементалів. Одночасно може бути викликаний лише один тип елементалів.
"	"{Виклик вогненного елементаля 1-го рівня}

Дозволяє прикликати вогненних елементалів. Одночасно може бути викликаний лише один тип елементалів.
"	"{Виклик вогненного елементаля 2-го рівня}

Дозволяє прикликати вогненних елементалів. Одночасно може бути викликаний лише один тип елементалів.

Викликає приблизно на 50% більше елементалів ніж Виклик вогненного елементаля 1-го рівня.
"	"{Виклик вогненного елементаля 3-го рівня}

Дозволяє прикликати вогненних елементалів. Одночасно може бути викликаний лише один тип елементалів.

Викликає приблизно вдвічі більше елементалів ніж Виклик вогненного елементаля 1-го рівня.
"	 COMBAT_SPELL
Земляний Елементаль	Земляний Елементаль	5	x				25	20	20	20	0	2	2	3	4	0	16	14	16	16	12	0	0	12	50	50	100	150	"{Виклик земного елементаля}

Дозволяє прикликати земних елементалів. Одночасно може бути викликаний лише один тип елементалів.
"	"{Виклик земляного елементаля 1-го рівня}

Дозволяє прикликати земляних елементалів. Одночасно може бути викликаний лише один тип елементалів.
"	"{Виклик земляного елементаля 2-го рівня}

Дозволяє прикликати земляних елементалів. Одночасно може бути викликаний лише один тип елементалів.

Викликає приблизно на 50% більше елементалів ніж Виклик земляного елементаля 1-го рівня.
"	"{Виклик земляного елементаля 3-го рівня}

Дозволяє прикликати земляних елементалів. Одночасно може бути викликаний лише один тип елементалів.

Викликає приблизно вдвічі більше елементалів ніж Виклик земляного елементаля 1-го рівня.
"	 COMBAT_SPELL
Водний Елементаль	Водний Елементаль	5		x			25	20	20	20	0	2	2	3	4	0	16	14	0	0	12	0	0	12	50	50	100	150	"{Виклик водного елементаля}

Дозволяє прикликати водних елементалів. Одночасно може бути викликаний лише один тип елементалів.
"	"{Виклик водного елементаля 1-го рівня}

Дозволяє прикликати водних елементалів. Одночасно може бути викликаний лише один тип елементалів.
"	"{Виклик водного елементаля 2-го рівня}

Дозволяє прикликати водних елементалів. Одночасно може бути викликаний лише один тип елементалів.

Викликає приблизно на 50% більше елементалів ніж Виклик водного елементаля 1-го рівня.
"	"{Виклик водного елементаля 3-го рівня}

Дозволяє прикликати водних елементалів. Одночасно може бути викликаний лише один тип елементалів.

Викликає приблизно вдвічі більше елементалів ніж Виклик водного елементаля 1-го рівня.
"	 COMBAT_SPELL
Повітряний Елементаль	Повітряний Елементаль	5				x	25	20	20	20	0	2	2	3	4	0	0	14	0	16	0	0	0	12	50	50	100	150	"{Виклик повітряного елементаля}

Дозволяє прикликати повітряних елементалів. Одночасно може бути викликаний лише один тип елементалів.
"	"{Виклик повітряного елементаля 1-го рівня}

Дозволяє прикликати повітряних елементалів. Одночасно може бути викликаний лише один тип елементалів.
"	"{Виклик повітряного елементаля 2-го рівня}

Дозволяє прикликати повітряних елементалів. Одночасно може бути викликаний лише один тип елементалів.

Викликає приблизно на 50% більше елементалів ніж Виклик повітряного елементаля 1-го рівня.
"	"{Виклик повітряного елементаля 3-го рівня}

Дозволяє прикликати повітряних елементалів. Одночасно може бути викликаний лише один тип елементалів.

Викликає приблизно вдвічі більше елементалів ніж Виклик повітряного елементаля 1-го рівня.
"	 COMBAT_SPELL
																																	
Creature Abilities																																	
																																	
Кам'яний погляд	Кам'яний погляд	3					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Отрута	Отрута	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Заціпеніння	Заціпеніння	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Чума	Чума	2					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Параліч	Параліч	4					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Старіння	Старіння	5					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Смертельна Хмара	Смертельна Хмара	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Грім та Блискавка	Грім та Блискавка	0					0	0	0	0	0	0	0	0	0	12	13	12	13	12	13	12	13	13	1	1	1	1					 CREATURE_SPELL
Розсіювання корисних заклять	Розсіювання корисних заклять	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
Погляд смерті	Погляд смерті	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
Кислотний подих	Кислотний подих	0					0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1					
